Kaynak;FirmaAdi;WebSitesi;Domain;Email
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"İZOCAM TİC. VE SAN. A.Ş.";"https://www.izocam.com.tr";"izocam.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"JOTUN BOYA SAN. VE TİC. A.Ş.";"https://www.jotun.com/tr-TR/products-and-services/products";"jotun.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALE KİLİT VE KALIP SAN. A.Ş.";"https://www.kalekilit.com.tr";"kalekilit.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALEKİM KİMYEVİ MADDELER SAN. VE TİC. A.Ş.";"https://www.kalekim.com";"kalekim.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.";"https://www.kale.com.tr";"kale.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KARAVİL ÇİMENTO SAN.VE TİC.A.Ş.";"https://www.karavilgrup.com.tr";"karavilgrup.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KİLSAN KİL SAN. VE TİC. A.Ş.";"https://www.kilsan.com";"kilsan.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KİNGSPAN YAPI ELEMANLARI A.Ş.";"https://www.kingspan.com/tr/en/";"kingspan.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KNAUF A.Ş.";"https://knauf.com/tr-TR";"knauf.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KNAUF INSULATION İZOLASYON SAN. VE TİC.A.Ş";"http://www.knaufinsulation.com.tr";"knaufinsulation.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KONE ASANSÖR SAN. VE TİC. A.Ş.";"https://www.kone.com.tr";"kone.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"KORAMIC YAPI KİMYASALLARI SAN. VE TİC. A.Ş.";"https://koramic.com.tr";"koramic.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAKRO TEKNİK END. ÜRÜN. MAK. İML. SAN. TİC. A.Ş.";"https://www.makroteknik.com.tr";"makroteknik.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAPEI YAPI KİMYASALLARI İNŞ. SAN. VE TİC. A.Ş.";"https://www.mapei.com/tr/tr";"mapei.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MARSHALL BOYA VE VERNİK SAN. A.Ş.";"https://www.marshallboya.com";"marshallboya.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MAS-DAF MAKİNA SAN. A.Ş.";"https://masdaf.com";"masdaf.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MEGATAŞ TAŞYÜNÜ İZOLASYON SAN. VE TİC. A.Ş.";"https://www.megatas.com.tr/";"megatas.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"MEKPAN PANEL A.Ş.";"https://mekpanpanel.com";"mekpanpanel.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ODE YALITIM SANAYİ VE TİCARET A.Ş.";"https://www.ode.com.tr";"ode.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"ONDULİNE AVRASYA İNŞ. MALZ. SAN. VE TİC. A.Ş.";"https://www.onduline.com.tr";"onduline.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"PREFABRİK YAPI İNŞAAT SANAYİ VE TİCARET A.Ş.";"https://www.prefabrikyapi.com/";"prefabrikyapi.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SAINT-GOBAIN WEBER YAPI KİMYASALLARI A.Ş.";"https://www.tr.weber/";"tr.weber";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SCHNEIDER ELEKTRİK SAN. VE TİC. A.Ş.";"https://www.se.com/tr/tr/";"se.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SELENA YAPI MALZEMELERİ SAN. TİC. LTD. ŞTİ.";"https://www.selenaturk.com.tr";"selenaturk.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SERANİT GRANİT SERAMİK SAN. VE TİC. A.Ş.";"https://www.seranit.com.tr";"seranit.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SİKA YAPI KİMYASALLARI A.Ş.";"https://tur.sika.com/tr";"tur.sika.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"SÖZERİ ENDÜSTRİ ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.";"https://www.tic-m.com";"tic-m.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"STANDART İZOLASYON VE YAPI MATER. SAN. TİC. A.Ş.";"https://www.standartizolasyon.com";"standartizolasyon.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TEKNOBİMS İZOLASYONLU HAFİF YAPI ELEMANLARI A.Ş.";"https://www.teknobims.com.tr";"teknobims.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TEPE BETOPAN YAPI MALZEMELERİ SAN. TİC. A.Ş.";"https://www.betopan.com.tr";"betopan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TİS DEPREM TEKNOLOJİLERİ SAN. VE TİC. A.Ş.";"https://tis.com.tr";"tis.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TMS TÜFEKÇİOĞLU MÜHENDİSLİK SAN. VE TİC. A.Ş.";"https://tmskalip.com";"tmskalip.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TREYSAN PREFABRİK ÇELİK YAPILAR SAN. TİC. A.Ş.";"https://www.treysan.com.tr";"treysan.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRK DEMİRDÖKÜM FAB. A.Ş.";"https://www.demirdokum.com.tr";"demirdokum.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRK YTONG SAN. AŞ.";"https://www.ytong.com.tr";"ytong.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.";"https://www.sisecam.com";"sisecam.com";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"UMS UĞUR METAL SANAYİ A.Ş.";"https://umsmetal.com.tr";"umsmetal.com.tr";""
"İMSAD (İnşaat Malzemesi Sanayicileri Derneği)";"VALFSEL ARMATÜR SAN. VE TİC. A.Ş.";"http://www.valfsel.com.tr";"valfsel.com.tr";""
"MESBAS (Mersin Serbest Bölgesi)";"3E-DİZAYN Mim.İnş.Mob.Tur.Bilişim Hiz.San.ve Tic.Ltd.Şti.Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"7BROS Tekstil Konfeksiyon San. Ve Tic. A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"A-Z Teks.San.Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ACE Dış Tic.Ltd.Şti.Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AD Serbest Bölge Dan.Hiz.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ADAMS Gıda San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ADEN KURU Gıda İth. İhr. San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ADİL Depo İnş.İşl.Ltd.Şti. Mersin Serbest Bölge Şubesi";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ADK KONFEKSİYON San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ADOLTEKS Teks.San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AGRADA Gıda Nak.San.Ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AHMET YILMAZ - LALE TEKSTİL";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AK-KİMET Akdeniz Kim.ve Med.San.Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKBANK T.A.Ş Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKBAŞLAR Çevre Dan.ve Atık Yön.Nak.San.Tic.A.Ş.MSB Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKDENİZ AGRO Gıda San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKSAN Konf.San.Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKSESUAR GROUP İnş.San.veTic.A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AKŞAHİN Dış Tic.ve Paz.Ltd.Şti. Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AL AMEED GROUP İnş.Gıda San.ve Tic.Ltd.Şti.MSB Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AL BAKRI AGRO Gıda San. Ve Dış Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AL BALSAN FOR TRADİNG Klima Paz.San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AL ŞİFA Zeytinyağı Gıda San.Dış Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AL TAHHAN Haşere İlaçları Gübre San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALDIN GROUP İç ve Dış Tic. A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALİ MOHAMED HIJAZI OĞULLARI Metalurji Plastik İnş.Oto.Gıda San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALJAMEEL INTERNATIONAL Gıda San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALKADER TRADİNG Gıda Otom.Yed.Prç.San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALMAWASİM International Gıda San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALMOHAIDI Gıda Ür.Dış Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALMONDER Gıda San. Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALPEREN Gıda Tic.San.Ltd.Şti. Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ALPRO End.Gıda Ür.-HAKAN YURDACAN MSB Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AMİRA CO Tekstil San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ANADOLU ETAP PENKON Gıda ve İçecek Ür. San. Ve Tic. A.Ş. MSB Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ANTUAN MAKZUME Ul.Taş.Tic.Ltd.Şti. Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"APPAREL Giyim San. Ve Tic. A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AQUAMARINE Dış Tic. A.Ş.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARCO IRISA Digital Baskı San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARDE Uluslararası İth. İhr. Tic. Ve San. Ltd. Şti";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARMA Pamuk San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARMEKS Sulama Ekp.San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARSLAN BİTAT Gıda San. Ve Dış Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ARTEKS Konf.San.Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ASGÜN Teks.Mak.San.ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ASTAŞ End.Teks.Mak.San.ve Tic.A.Ş. Mersin Serbest Bölge Şb.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ASTEKS INTERNATIONAL Gıda San. Ve Tic. Ltd. Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"ATS Doğal Ürünler Gıda İnşaat Nak. Elekt. Day.Tük.Mal.San. Ve Tic. Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AVİANA Gıda San. Ve Tic.Ltd.Şti.";"";"";""
"MESBAS (Mersin Serbest Bölgesi)";"AVİCENNA Labs İlaç San.ve Tic.Ltd.Şti.";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Ağız Ve Diş Sağlığı Merkezi (ADANA, ÇUKUROVA)";"";"";"adana.adsm@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Ceyhan Devlet Hastanesi (ADANA, CEYHAN)";"";"";"adanadhs1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Çukurova Dr.Aşkım Tüfekçi Devlet Hastanesi (ADANA, SEYHAN)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Devlet Hastanesi (ADANA, YÜREĞİR)";"";"";"adanadhs11@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Devlet Hastanesi Karşıyaka Semt Polikliniği (ADANA, YÜREĞİR)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Dr.Ekrem Tok Ruh Sağlığı Ve Hastalıkları Hastanesi (ADANA, ÇUKUROVA)";"";"";"adanarshh1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana İmamoğlu Devlet Hastanesi (ADANA, İMAMOĞLU)";"";"";"adanadhs2@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Kadın Doğum Ve Çocuk Hastalıkları Hastanesi (ADANA, SEYHAN)";"";"";"adanadcb1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Karaisalı Devlet Hastanesi (ADANA, KARAİSALI)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Kozan Devlet Hastanesi (ADANA, KOZAN)";"";"";"kozan@kozan.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Numune Eğitim Ve Araştırma Hastanesi (ADANA, YÜREĞİR)";"";"";"adanaeah1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Pozantı 80.Yıl Devlet Hastanesi (ADANA, POZANTI)";"";"";"adanadhs5@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adana Tufanbeyli Devlet Hastanesi (ADANA, TUFANBEYLİ)";"";"";"adanadhs9@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman Ağız Ve Diş Sağlığı Merkezi (ADIYAMAN, MERKEZ)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman Besni Devlet Hastanesi (ADIYAMAN, BESNİ)";"";"";"adiyamandhs1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman Çelikhan Devlet Hastanesi (ADIYAMAN, ÇELİKHAN)";"";"";"info@celikhandevlethastanesi.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman Gölbaşı Devlet Hastanesi (ADIYAMAN, GÖLBAŞI)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman Kahta Devlet Hastanesi (ADIYAMAN, KAHTA)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Adıyaman T.C. Sağlık Bakanlığı Adıyaman Üniversitesi Eğitim Ve Araştırma Hastanesi (ADIYAMAN, MERKEZ)";"";"";"adiyamaneah1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Ağız Ve Diş Sağlığı Merkezi (AFYONKARAHİSAR, MERKEZ)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Çay Devlet Hastanesi (AFYONKARAHİSAR, ÇAY)";"";"";"caydevlet@ttmail.com"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Devlet Hastanesi (AFYONKARAHİSAR, MERKEZ)";"";"";"afyonkarahisardh@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Dinar Devlet Hastanesi (AFYONKARAHİSAR, DİNAR)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Dr.Halil İbrahim Özsoy Bolvadin Devlet Hastanesi (AFYONKARAHİSAR, BOLVADİN)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Emirdağ Devlet Hastanesi (AFYONKARAHİSAR, EMİRDAĞ)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar İscehisar Devlet Hastanesi (AFYONKARAHİSAR, İSCEHİSAR)";"";"";"afyonkarahisardhs8@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Sandıklı Devlet Hastanesi (AFYONKARAHİSAR, SANDIKLI)";"";"";"afyonkarahisardhs11@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Sinanpaşa İlçe Hastanesi (AFYONKARAHİSAR, SİNANPAŞA)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Şuhut Devlet Hastanesi (AFYONKARAHİSAR, ŞUHUT)";"";"";"shtdevlethst@ttmail.com"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Afyonkarahisar Zübeyde Hanım Kadın Doğum Ve Çocuk Hastalıkları Hastanesi (AFYONKARAHİSAR, MERKEZ)";"";"";"afyonkarahisardcb1@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Ağız Ve Diş Sağlığı Merkezi (AĞRI, MERKEZ)";"";"";"agriadsm@agriadsm.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Devlet Hastanesi (AĞRI, MERKEZ)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Diyadin Devlet Hastanesi (AĞRI, DİYADİN)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Dr.Yaşar Eryılmaz Doğubeyazıt Devlet Hastanesi (AĞRI, DOĞUBEYAZIT)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Eleşkirt Devlet Hastanesi (AĞRI, ELEŞKİRT)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Hamur İlçe Devlet Hastanesi (AĞRI, HAMUR)";"";"";"agridhs8@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Patnos Devlet Hastanesi (AĞRI, PATNOS)";"";"";"patnosdh@patnosdh.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Taşlıçay İlçe Devlet Hastanesi (AĞRI, TAŞLIÇAY)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Ağrı Tutak Devlet Hastanesi (AĞRI, TUTAK)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Aksaray A��z Ve Di� Sa�l��� Merkezi (AKSARAY, MERKEZ)";"";"";"aksaray.adsm@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Aksaray Devlet Hastanesi (AKSARAY, MERKEZ)";"";"";"aksaraydhs5@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Aksaray Eskil Devlet Hastanesi (AKSARAY, ESK�L)";"";"";"aksaraydhs2@saglik.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Aksaray G�la�a� �l�e Hastanesi (AKSARAY, G�LA�A�)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Aksaray Ortak�y Devlet Hastanesi (AKSARAY, ORTAK�Y)";"";"";""
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Amasya Ağız Ve Diş Sağlığı Merkezi (AMASYA, MERKEZ)";"";"";"bilgi@amasyaagizdis.gov.tr"
"MHRS-GitHub (Kamu Hastaneleri 2014)";"Amasya Gümüşhacıköy Devlet Hastanesi (AMASYA, GÜMÜŞHACIKÖY)";"";"";"amasyadhs1@saglik.gov.tr"
